True_Ra,Predicted_Ra,MAE,,,
1.354,2.162052631,0.808052631,,¥­§¡µ´¹ï»~®t,0.230835156
1.354,1.789586544,0.435586544,,,
1.354,1.946298599,0.592298599,,,
1.354,1.94128871,0.58728871,,,
1.354,2.121526957,0.767526957,,,
1.354,1.88805294,0.53405294,,,
1.354,2.104993105,0.750993105,,,
1.354,2.330864191,0.976864191,,,
1.354,2.033988476,0.679988476,,,
1.354,1.844377041,0.490377041,,,
1.354,2.021148682,0.667148682,,,
1.354,1.67737031,0.32337031,,,
1.354,1.83302784,0.47902784,,,
1.582,1.998626709,0.416626709,,,
1.582,1.633624792,0.051624792,,,
1.582,1.477548599,0.104451401,,,
1.582,1.729303837,0.147303837,,,
1.582,1.609294415,0.027294415,,,
1.582,1.581999302,6.9809E-07,,,
1.582,1.719206691,0.137206691,,,
1.582,1.622619152,0.040619152,,,
1.582,1.823295593,0.241295593,,,
1.582,1.518015862,0.063984138,,,
1.582,1.459644318,0.122355682,,,
1.582,1.616878986,0.034878986,,,
1.582,1.570342898,0.011657102,,,
1.582,1.620964766,0.038964766,,,
1.582,1.440902948,0.141097052,,,
2.624,2.41604948,0.20795052,,,
2.624,2.464845657,0.159154343,,,
2.624,2.47943902,0.14456098,,,
2.624,2.795321465,0.171321465,,,
2.624,2.628911734,0.004911734,,,
2.624,2.50702095,0.11697905,,,
2.624,2.560173988,0.063826012,,,
2.624,2.631830692,0.007830692,,,
2.624,2.771436691,0.147436691,,,
2.624,2.575761795,0.048238205,,,
2.624,2.570454121,0.053545879,,,
2.624,2.643054724,0.019054724,,,
2.624,2.682061672,0.058061672,,,
2.624,2.484179974,0.139820026,,,
2.624,2.406697989,0.217302011,,,
2.624,2.547864676,0.076135324,,,
2.624,2.46133852,0.16266148,,,
2.624,2.621841669,0.002158331,,,
2.624,2.732554674,0.108554674,,,
2.624,2.49414587,0.12985413,,,
2.345,2.322701931,0.022298069,,,
2.345,2.383792877,0.038792877,,,
2.345,2.397488117,0.052488117,,,
2.345,2.31793499,0.02706501,,,
2.345,2.258878708,0.086121292,,,
2.345,2.250215054,0.094784946,,,
2.345,2.559254646,0.214254646,,,
2.345,2.237389565,0.107610435,,,
2.345,2.555668831,0.210668831,,,
2.345,2.475414991,0.130414991,,,
2.345,2.194806814,0.150193186,,,
2.345,2.121605396,0.223394604,,,
2.345,2.338463306,0.006536694,,,
3.037,3.097115993,0.060115993,,,
3.037,3.45861268,0.42161268,,,
3.037,3.055019617,0.018019617,,,
3.037,2.88285923,0.15414077,,,
3.037,3.183083296,0.146083296,,,
3.037,2.917894363,0.119105637,,,
3.037,3.068225861,0.031225861,,,
3.037,3.061725378,0.024725378,,,
3.037,2.869403839,0.167596161,,,
3.037,2.878237009,0.158762991,,,
3.037,2.772089958,0.264910042,,,
3.037,3.033912182,0.003087818,,,
3.037,2.873584747,0.163415253,,,
3.037,2.9915061,0.0454939,,,
3.037,3.189423084,0.152423084,,,
3.037,2.445144653,0.591855347,,,
2.65,2.671639442,0.021639442,,,
2.65,2.752763033,0.102763033,,,
2.65,2.781342745,0.131342745,,,
2.65,2.461599827,0.188400173,,,
2.65,2.295540094,0.354459906,,,
2.65,2.669278622,0.019278622,,,
2.65,2.628733397,0.021266603,,,
2.65,2.536130428,0.113869572,,,
2.65,2.884246349,0.234246349,,,
2.65,2.369987965,0.280012035,,,
2.65,2.620103359,0.029896641,,,
2.65,2.906138659,0.256138659,,,
2.65,2.448299885,0.201700115,,,
2.65,2.700814009,0.050814009,,,
2.65,2.718305111,0.068305111,,,
2.65,2.578873158,0.071126842,,,
2.65,2.87252903,0.22252903,,,
2.65,2.27526021,0.37473979,,,
2.65,2.623396397,0.026603603,,,
2.65,2.618302822,0.031697178,,,
2.65,2.51359129,0.13640871,,,
2.65,2.716289282,0.066289282,,,
2.65,2.662899733,0.012899733,,,
2.65,2.651877165,0.001877165,,,
2.65,2.671461582,0.021461582,,,
2.65,2.569955826,0.080044174,,,
2.65,2.580485582,0.069514418,,,
2.65,2.20324707,0.44675293,,,
2.65,1.830780864,0.819219136,,,
2.65,1.987493038,0.662506962,,,
2.65,1.982483387,0.667516613,,,
2.65,2.162721157,0.487278843,,,
2.65,1.92924726,0.72075274,,,
2.65,2.146187544,0.503812456,,,
2.65,2.37205863,0.27794137,,,
2.65,2.075183153,0.574816847,,,
2.65,1.88557148,0.76442852,,,
2.65,2.062343121,0.587656879,,,
2.65,1.71856463,0.93143537,,,
2.65,1.874222398,0.775777602,,,
